"","model","sim","year","hm_jday","max_jday","max_val","first","median","diff_hm","diff_max","n.surveys"
"329","hierarchical",13,"3",118,128,0.327285925792508,101,128,0,2,8000
"330","hierarchical",13,"4",117,127,0.322635731881585,102,128,0,2,7250
"331","hierarchical",13,"5",116,126,0.319823166494299,98,126,0,2,6500
"332","hierarchical",13,"6",115,125,0.319829400623871,101,126,0,2,5750
"333","hierarchical",13,"7",114,123,0.32353549370544,101,125,0,1,5000
"334","hierarchical",13,"8",113,122,0.3319724035568,102,124,0,1,4250
"335","hierarchical",13,"9",112,121,0.34364378038251,102,122,0,1,3500
"336","hierarchical",13,"10",111,120,0.357341534715047,102,123,0,1,2750
"337","hierarchical",13,"11",110,119,0.371144802465621,98,120,0,1,2000
"338","hierarchical",13,"12",109,118,0.382606324482858,102,121,0,1,1250
"339","hierarchical",13,"13",109,118,0.390000056286868,100,118,1,2,500
"340","independent",14,"1",121,128,0.358553394080364,104,129,1,-2,9500
"341","independent",14,"2",119,128,0.337227146948599,105,129,0,-1,8750
"342","independent",14,"3",118,127,0.335278408252434,102,128,0,-1,8000
"343","independent",14,"4",117,125,0.337991681648777,97,127,0,-2,7250
"344","independent",14,"5",116,124,0.334986497481103,101,126,0,-2,6500
"345","independent",14,"6",114,122,0.337758855897019,103,125,-1,-3,5750
"346","independent",14,"7",113,122,0.307213021223767,98,125,-1,-2,5000
"347","independent",14,"8",113,125,0.374232987403165,107,124,0,2,4250
"348","independent",14,"9",115,123,0.393168928695988,98,123,3,1,3500
"349","independent",14,"10",111,120,0.341113705830625,95,121,0,-1,2750
"350","independent",14,"11",107,117,0.295590337429402,95,121,-3,-3,2000
"351","independent",14,"12",108,116,0.310435567919278,103,117,-1,-3,1250
"352","independent",14,"13",112,119,0.486657737033663,97,119.5,4,1,500
"353","hierarchical",14,"1",119,129,0.336379496902652,104,129,-1,1,9500
"354","hierarchical",14,"2",119,128,0.335757541846771,105,129,0,1,8750
"355","hierarchical",14,"3",118,127,0.334982956841189,102,128,0,1,8000
"356","hierarchical",14,"4",117,126,0.33483795115056,97,127,0,1,7250
"357","hierarchical",14,"5",116,125,0.335985267013016,101,126,0,1,6500
"358","hierarchical",14,"6",115,124,0.338866947160064,103,125,0,1,5750
"359","hierarchical",14,"7",115,123,0.343583390669155,98,125,1,1,5000
"360","hierarchical",14,"8",114,122,0.349787648916401,107,124,1,1,4250
"361","hierarchical",14,"9",113,121,0.356832275394799,98,123,1,1,3500
"362","hierarchical",14,"10",112,121,0.364725070345249,95,121,1,2,2750
"363","hierarchical",14,"11",111,120,0.371723214514857,95,121,1,2,2000
"364","hierarchical",14,"12",110,119,0.376255450486114,103,117,1,2,1250
