"","model","sim","year","hm_jday","max_jday","max_val","first","median","diff_hm","diff_max","n.surveys"
"266","independent",11,"5",130,138,0.128290657475263,124,140,0,0,6500
"267","independent",11,"6",129,135,0.122920165605381,122,141,0,-2,5750
"268","independent",11,"7",127,134,0.130951931755805,119,138,-1,-2,5000
"269","independent",11,"8",127,135,0.12874606397464,122,139,0,0,4250
"270","independent",11,"9",126,133,0.10954618133258,120,138,0,-1,3500
"271","independent",11,"10",126,131,0.194323374344609,122,135,1,-2,2750
"272","independent",11,"11",124,131,0.137146080872437,121,136,0,-1,2000
"273","independent",11,"12",121,129,0.0922895893975232,121,135,-2,-2,1250
"274","independent",11,"13",118,140,0.050419103861033,119,144,-4,10,500
"275","hierarchical",11,"1",133,140,0.117139439028257,126,144,-1,-2,9500
"276","hierarchical",11,"2",132,140,0.121268454541178,128,145,-1,-1,8750
"277","hierarchical",11,"3",132,139,0.123232821650744,126,142,0,-1,8000
"278","hierarchical",11,"4",131,138,0.122961787551712,122,145,0,-1,7250
"279","hierarchical",11,"5",130,137,0.121616907908895,124,140,0,-1,6500
"280","hierarchical",11,"6",129,136,0.120732054745153,122,141,0,-1,5750
"281","hierarchical",11,"7",128,135,0.121620719113791,119,138,0,-1,5000
"282","hierarchical",11,"8",126,134,0.125019089299304,122,139,-1,-1,4250
"283","hierarchical",11,"9",126,133,0.131187613719107,120,138,0,-1,3500
"284","hierarchical",11,"10",125,132,0.139774377979543,122,135,0,-1,2750
"285","hierarchical",11,"11",124,131,0.149660096956077,121,136,0,-1,2000
"286","hierarchical",11,"12",123,130,0.158918081718677,121,135,0,-1,1250
"287","hierarchical",11,"13",123,130,0.166092876590379,119,144,1,0,500
"288","independent",12,"1",133,142,0.107433179458515,123,145,-1,0,9500
"289","independent",12,"2",132,138,0.10840635413711,126,141,-1,-3,8750
"290","independent",12,"3",131,139,0.130561248135878,125,142,-1,-1,8000
"291","independent",12,"4",132,138,0.178265095169513,122,139,1,-1,7250
"292","independent",12,"5",130,137,0.134762252240745,119,139,0,-1,6500
"293","independent",12,"6",131,138,0.141606853601563,122,140,2,1,5750
"294","independent",12,"7",128,136,0.125793075442605,123,139,0,0,5000
"295","independent",12,"8",127,134,0.120573880746579,109,138,0,-1,4250
"296","independent",12,"9",126,133,0.114341045677631,121,137,0,-1,3500
"297","independent",12,"10",125,133,0.129645208173597,122,136.5,0,0,2750
"298","independent",12,"11",122,132,0.0955503311920196,119,136,-2,0,2000
"299","independent",12,"12",123,133,0.124312197970445,114,135,0,2,1250
"300","independent",12,"13",116,129,0.0585435603572025,122,137,-6,-1,500
"301","hierarchical",12,"1",132,139,0.11233049990617,123,145,-2,-3,9500
"302","hierarchical",12,"2",132,139,0.121079044742184,126,141,-1,-2,8750
"303","hierarchical",12,"3",131,138,0.128399162785603,125,142,-1,-2,8000
"304","hierarchical",12,"4",131,137,0.132532699603075,122,139,0,-2,7250
"305","hierarchical",12,"5",130,137,0.134941060218859,119,139,0,-1,6500
"306","hierarchical",12,"6",129,136,0.135071587843352,122,140,0,-1,5750
"307","hierarchical",12,"7",129,136,0.133953918939943,123,139,1,0,5000
"308","hierarchical",12,"8",128,135,0.132985372177266,109,138,1,0,4250
"309","hierarchical",12,"9",127,134,0.131965727870562,121,137,1,0,3500
"310","hierarchical",12,"10",126,134,0.13188301218361,122,136.5,1,1,2750
"311","hierarchical",12,"11",125,133,0.133368731297656,119,136,1,1,2000
"312","hierarchical",12,"12",124,132,0.135661616470235,114,135,1,1,1250
"313","hierarchical",12,"13",123,132,0.138763758216159,122,137,1,2,500
"314","independent",13,"1",134,141,0.151312437493273,125,145,0,-1,9500
